episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/defensive_policy/num_agent_steps_trained,info/learner/defensive_policy/num_grad_updates_lifetime,info/learner/defensive_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/defensive_policy/learner_stats/allreduce_latency,info/learner/defensive_policy/learner_stats/grad_gnorm,info/learner/defensive_policy/learner_stats/cur_kl_coeff,info/learner/defensive_policy/learner_stats/cur_lr,info/learner/defensive_policy/learner_stats/total_loss,info/learner/defensive_policy/learner_stats/policy_loss,info/learner/defensive_policy/learner_stats/vf_loss,info/learner/defensive_policy/learner_stats/vf_explained_var,info/learner/defensive_policy/learner_stats/kl,info/learner/defensive_policy/learner_stats/entropy,info/learner/defensive_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,14,0,0,80000,80000,8000,8000,8000,8000,534.9513695385451,534.9513695385451,8000,8000,80000,False,0,1,c8b62_00000,2025-12-08_19-55-25,1765223725,14.958854913711548,14.958854913711548,8335,5be016125046,172.17.0.2,14.958854913711548,1,8000,8000,80000,80000,nan,nan,nan,nan,0,0,[],[],14954.606,6817.566,8125.408,984.566,11.15,8000,8000,80000,80000,23.145,39.585,[],[],1000.0,600.5,599.5,0.0,0.2506730235119661,0.2,5.000000000000001e-05,-0.0032744203705806284,-0.005342947657142456,0.00034018857061406983,0.3592310778796673,0.00864169343488141,2.935776687463125,0.0
nan,nan,nan,nan,0,0,14,0,0,160000,160000,16000,16000,8000,8000,580.0959595749168,580.0959595749168,16000,8000,160000,False,0,2,c8b62_00000,2025-12-08_19-55-39,1765223739,13.794195890426636,28.753050804138184,8335,5be016125046,172.17.0.2,28.753050804138184,2,16000,16000,160000,160000,nan,nan,nan,nan,0,0,[],[],14372.704,6787.625,7568.593,1057.0,16.035,16000,16000,160000,160000,22.72,40.249999999999986,[],[],1000.0,1800.5,599.5,0.0,0.22551860611885785,0.2,5.000000000000001e-05,-0.0023661828354670433,-0.003590161244307334,0.0002742127441282112,0.3511381955444813,0.004748827636070321,2.929486073255539,0.0
nan,nan,nan,nan,0,0,14,0,0,240000,240000,24000,24000,8000,8000,574.0675893009715,574.0675893009715,24000,8000,240000,False,0,3,c8b62_00000,2025-12-08_19-55-53,1765223753,13.9421546459198,42.69520545005798,8335,5be016125046,172.17.0.2,42.69520545005798,3,24000,24000,240000,240000,nan,nan,nan,nan,0,0,[],[],14227.01,6562.818,7648.193,1045.999,15.559,24000,24000,240000,240000,23.22222222222222,40.51111111111111,[],[],1000.0,3000.5,599.5,0.0,0.2293186601003011,0.1,5.000000000000001e-05,-0.004817623573411159,-0.0058995940303429965,0.0001067184282328526,0.2758796005944411,0.009752522816702367,2.9161943515141804,0.0
nan,nan,nan,nan,0,0,14,0,0,320000,320000,32000,32000,8000,8000,575.4140311654866,575.4140311654866,32000,8000,320000,False,0,4,c8b62_00000,2025-12-08_19-56-07,1765223767,13.907337427139282,56.602542877197266,8335,5be016125046,172.17.0.2,56.602542877197266,4,32000,32000,320000,320000,nan,nan,nan,nan,0,0,[],[],14146.01,6621.02,7508.307,1065.487,16.209,32000,32000,320000,320000,23.005,40.825,[],[],1000.0,4200.5,599.5,0.0,0.22822715966651838,0.1,5.000000000000001e-05,-0.004834955371128065,-0.005815749323616426,3.202698286713712e-05,0.16595054000616075,0.009487670508694162,2.9112031326691308,0.0
nan,nan,nan,nan,0,0,14,0,0,400000,400000,40000,40000,8000,8000,560.8590041616426,560.8590041616426,40000,8000,400000,False,0,5,c8b62_00000,2025-12-08_19-56-21,1765223781,14.26712703704834,70.8696699142456,8335,5be016125046,172.17.0.2,70.8696699142456,5,40000,40000,400000,400000,nan,nan,nan,nan,0,0,[],[],14169.571,6640.046,7513.315,1064.776,15.744,40000,40000,400000,400000,23.805263157894736,41.152631578947364,[],[],1000.0,5400.5,599.5,0.0,0.22868871614336966,0.1,5.000000000000001e-05,-0.00442823142875568,-0.005207542583423977,7.236196366496491e-06,0.2643765443066756,0.007720752230798098,2.9056901796658834,0.0
nan,nan,nan,nan,0,0,14,0,0,480000,480000,48000,48000,8000,8000,542.1992559035559,542.1992559035559,48000,8000,480000,False,0,6,c8b62_00000,2025-12-08_19-56-36,1765223796,14.759959936141968,85.62962985038757,8335,5be016125046,172.17.0.2,85.62962985038757,6,48000,48000,480000,480000,nan,nan,nan,nan,0,0,[],[],14267.093,6665.619,7585.931,1054.584,15.087,48000,48000,480000,480000,22.276190476190475,41.28095238095237,[],[],1000.0,6600.5,599.5,0.0,0.24156807646155357,0.1,5.000000000000001e-05,-0.004512423367971982,-0.005279825164955885,1.9019555044034557e-06,0.4260166683793068,0.007655002976925971,2.8946613186597823,0.0
nan,nan,nan,nan,0,0,14,0,0,560000,560000,56000,56000,8000,8000,581.0206240272329,581.0206240272329,56000,8000,560000,False,0,7,c8b62_00000,2025-12-08_19-56-49,1765223809,13.772614240646362,99.40224409103394,8335,5be016125046,172.17.0.2,99.40224409103394,7,56000,56000,560000,560000,nan,nan,nan,nan,0,0,[],[],14195.916,6678.254,7502.837,1066.263,14.367,56000,56000,560000,560000,22.860000000000003,41.29999999999999,[],[],1000.0,7800.5,599.5,0.0,0.24198707606643438,0.1,5.000000000000001e-05,-0.004870442534641673,-0.005754918468689235,6.967075434261005e-07,0.6328256288170815,0.008837801254818867,2.8896364202102025,0.0
nan,nan,nan,nan,0,0,14,0,0,640000,640000,64000,64000,8000,8000,579.3558755475894,579.3558755475894,64000,8000,640000,False,0,8,c8b62_00000,2025-12-08_19-57-03,1765223823,13.811920404434204,113.21416449546814,8335,5be016125046,172.17.0.2,113.21416449546814,8,64000,64000,640000,640000,nan,nan,nan,nan,0,0,[],[],14147.479,6706.63,7426.237,1077.262,14.165,64000,64000,640000,640000,22.257894736842104,41.29999999999999,[],[],1000.0,9000.5,599.5,0.0,0.24408117176343996,0.1,5.000000000000001e-05,-0.004265731796670782,-0.005077480185233677,2.3142962737310314e-07,0.8329738225539526,0.008115181230270234,2.875826201836268,0.0
nan,nan,nan,nan,0,0,14,0,0,720000,720000,72000,72000,8000,8000,582.9834070610033,582.9834070610033,72000,8000,720000,False,0,9,c8b62_00000,2025-12-08_19-57-17,1765223837,13.726941108703613,126.94110560417175,8335,5be016125046,172.17.0.2,126.94110560417175,9,72000,72000,720000,720000,nan,nan,nan,nan,0,0,[],[],14100.259,6667.241,7418.795,1078.342,13.775,72000,72000,720000,720000,22.53684210526316,41.29999999999999,[],[],1000.0,10200.5,599.5,0.0,0.24701520803074042,0.1,5.000000000000001e-05,-0.006420468429884446,-0.007442640668402115,1.0942376648633475e-07,0.9193971701959769,0.010220647268051835,2.8648277010520298,0.0
nan,nan,nan,nan,0,0,14,0,0,800000,800000,80000,80000,8000,8000,484.31435774253583,484.31435774253583,80000,8000,800000,False,0,10,c8b62_00000,2025-12-08_19-57-34,1765223854,16.522136688232422,143.46324229240417,8335,5be016125046,172.17.0.2,143.46324229240417,10,80000,80000,800000,800000,nan,nan,nan,nan,0,0,[],[],14342.051,6947.01,7381.082,1083.852,13.511,80000,80000,800000,800000,23.189999999999998,41.29999999999999,[],[],1000.0,11400.5,599.5,0.0,0.2460524000475804,0.1,5.000000000000001e-05,-0.00659062446502503,-0.007473598728635503,7.677303570948387e-08,0.9479116379221281,0.008828997890254868,2.861532464822133,0.0
